Monthly Net Income,1,2,3,4,5,6
9350,1243,1776,2171,2425,2667,2899
9400,1248,1784,2181,2436,2680,2913
9450,1253,1792,2191,2447,2692,2926
9500,1258,1801,2201,2459,2705,2940
9550,1263,1809,2211,2470,2717,2953
9600,1268,1817,2221,2481,2729,2967
9650,1273,1825,2231,2492,2742,2980
9700,1278,1834,2241,2504,2754,2994
9750,1283,1842,2252,2515,2766,3007
9800,1287,1849,2260,2525,2777,3019
9850,1291,1855,2269,2535,2788,3031
9900,1295,1862,2278,2544,2799,3042
9950,1299,1868,2286,2554,2809,3054
10000,1303,1875,2295,2563,2820,3065
10050,1307,1881,2303,2573,2830,3076
10100,1311,1888,2312,2583,2841,3088
10150,1315,1894,2321,2592,2851,3099
10200,1319,1901,2329,2602,2862,3111
10250,1323,1907,2338,2611,2872,3122
10300,1327,1913,2346,2621,2883,3134
10350,1331,1920,2355,2630,2894,3145
10400,1335,1926,2364,2640,2904,3157
10450,1339,1933,2372,2650,2915,3168
10500,1343,1939,2381,2659,2925,3180
10550,1347,1946,2389,2669,2936,3191
10600,1351,1952,2398,2678,2946,3203
10650,1355,1959,2406,2688,2957,3214
10700,1359,1965,2415,2697,2967,3225
10750,1364,1972,2422,2705,2976,3235
10800,1369,1979,2429,2713,2985,3244
10850,1374,1985,2436,2721,2993,3254
10900,1379,1992,2443,2729,3002,3263
10950,1384,1999,2450,2737,3011,3273
11000,1389,2006,2457,2745,3019,3282
11050,1394,2012,2464,2753,3028,3291
11100,1398,2019,2471,2761,3037,3301
11150,1403,2026,2479,2769,3045,3310
11200,1408,2033,2486,2776,3054,3320
11250,1413,2039,2493,2784,3063,3329
11300,1418,2046,2500,2792,3072,3339
11350,1423,2053,2507,2800,3080,3348
11400,1428,2060,2514,2808,3089,3358
11450,1433,2066,2521,2816,3098,3367
11500,1438,2073,2528,2824,3106,3377
11550,1443,2080,2535,2832,3115,3386
11600,1448,2087,2542,2840,3124,3396
11650,1453,2093,2549,2848,3132,3405
11700,1458,2100,2556,2856,3141,3414
11750,1463,2107,2564,2863,3150,3424
11800,1468,2114,2571,2871,3159,3433
11850,1473,2120,2578,2879,3167,3443
11900,1478,2127,2585,2887,3176,3452
11950,1483,2134,2592,2895,3185,3462
12000,1488,2141,2599,2903,3193,3471
12050,1493,2147,2606,2911,3202,3481
12100,1498,2154,2613,2919,3211,3490
12150,1503,2161,2620,2927,3219,3500
12200,1508,2167,2627,2935,3228,3509
12250,1513,2174,2634,2943,3237,3518
12300,1518,2181,2641,2951,3246,3528
12350,1523,2188,2649,2958,3254,3537
12400,1528,2194,2656,2966,3263,3547
12450,1533,2201,2663,2974,3272,3556
12500,1538,2208,2670,2982,3280,3566
12550,1542,2215,2677,2990,3289,3575
12600,1547,2221,2684,2998,3298,3585
12650,1552,2228,2691,3006,3306,3594
12700,1557,2235,2698,3014,3315,3604
12750,1562,2242,2705,3022,3324,3613
12800,1567,2248,2712,3030,3333,3623
12850,1572,2255,2719,3038,3341,3632
12900,1577,2262,2726,3045,3350,3641
12950,1582,2269,2734,3053,3359,3651
13000,1587,2275,2741,3061,3367,3660
13050,1592,2282,2748,3069,3376,3670
13100,1597,2289,2755,3077,3385,3679
13150,1602,2296,2762,3085,3394,3689
13200,1607,2302,2769,3093,3402,3698
13250,1612,2309,2776,3101,3411,3708
13300,1617,2316,2783,3109,3420,3717
13350,1622,2323,2790,3117,3428,3727
13400,1627,2329,2797,3125,3437,3736
13450,1632,2336,2804,3132,3446,3745
13500,1637,2343,2811,3140,3454,3755
13550,1642,2350,2819,3148,3463,3764
13600,1647,2356,2826,3156,3472,3774
13650,1652,2363,2833,3164,3481,3783
13700,1657,2370,2840,3172,3489,3793
13750,1662,2377,2847,3180,3498,3802
13800,1667,2383,2854,3188,3507,3812
13850,1672,2390,2861,3196,3515,3821
13900,1677,2397,2868,3204,3524,3831
13950,1682,2404,2875,3212,3533,3840
14000,1686,2410,2882,3219,3541,3850
14050,1691,2417,2889,3227,3550,3859
14100,1696,2424,2896,3235,3559,3868
14150,1701,2431,2904,3243,3568,3878
14200,1706,2437,2911,3251,3576,3887
14250,1711,2444,2918,3259,3585,3897
14300,1716,2451,2925,3267,3594,3906
14350,1721,2458,2932,3275,3602,3916
14400,1726,2464,2939,3283,3611,3925
14450,1731,2471,2946,3291,3620,3935
14500,1736,2478,2953,3299,3628,3944
14550,1741,2485,2960,3307,3637,3954
14600,1746,2491,2967,3314,3646,3963
14650,1751,2498,2974,3322,3655,3973
14700,1756,2505,2981,3330,3663,3982
14750,1761,2511,2988,3338,3672,3991
14800,1766,2518,2996,3346,3681,4001
14850,1771,2525,3003,3354,3689,4010
14900,1776,2532,3010,3362,3698,4020
14950,1781,2538,3017,3370,3707,4029
15000,1786,2545,3024,3378,3715,4039
15050,1791,2552,3031,3386,3724,4048
15100,1796,2559,3038,3394,3733,4058
15150,1801,2565,3045,3401,3742,4067
15200,1806,2572,3052,3409,3750,4077
15250,1811,2579,3059,3417,3759,4086
15300,1816,2586,3066,3425,3768,4095
15350,1821,2592,3073,3433,3776,4105
15400,1826,2599,3081,3441,3785,4114
15450,1831,2606,3088,3449,3794,4124
15500,1835,2613,3095,3457,3802,4133
15550,1840,2619,3102,3465,3811,4143
15600,1845,2626,3109,3473,3820,4152
15650,1850,2633,3116,3481,3829,4162
15700,1855,2640,3123,3488,3837,4171
15750,1860,2646,3130,3496,3846,4181
15800,1865,2653,3137,3504,3855,4190
15850,1870,2660,3144,3512,3863,4200
15900,1875,2667,3151,3520,3872,4209
15950,1880,2673,3158,3528,3881,4218
16000,1885,2680,3166,3536,3890,4228
16050,1890,2687,3173,3544,3898,4237
16100,1895,2694,3180,3552,3907,4247
16150,1900,2700,3187,3560,3916,4256
16200,1905,2707,3194,3568,3924,4266
16250,1910,2714,3201,3575,3933,4275
16300,1915,2721,3208,3583,3942,4285
16350,1920,2727,3215,3591,3950,4294
16400,1925,2734,3222,3599,3959,4304
16450,1930,2741,3229,3607,3968,4313
16500,1935,2748,3236,3615,3977,4322
16550,1940,2754,3243,3623,3985,4332
16600,1945,2761,3251,3631,3994,4341
16650,1950,2768,3258,3639,4003,4351
16700,1955,2775,3265,3647,4011,4360
16750,1960,2781,3272,3655,4020,4370
16800,1965,2788,3279,3662,4029,4379
16850,1970,2795,3286,3670,4037,4389
16900,1975,2802,3293,3678,4046,4398
16950,1979,2808,3300,3686,4055,4408
17000,1984,2815,3307,3694,4064,4417
17050,1989,2822,3314,3702,4072,4427
17100,1994,2828,3321,3710,4081,4436
17150,1999,2835,3328,3718,4090,4445
17200,2004,2842,3336,3726,4098,4455
17250,2009,2849,3343,3734,4107,4464
17300,2014,2855,3350,3742,4116,4474
17350,2019,2862,3357,3750,4124,4483
17400,2024,2869,3364,3757,4133,4493
17450,2029,2876,3371,3765,4142,4502
17500,2034,2882,3378,3773,4151,4512
17550,2039,2889,3385,3781,4159,4521
17600,2044,2896,3392,3789,4168,4531
17650,2049,2903,3399,3797,4177,4540
17700,2054,2909,3406,3805,4185,4550
17750,2059,2916,3413,3813,4194,4559
17800,2064,2923,3421,3821,4203,4568
17850,2069,2930,3428,3829,4211,4578
17900,2074,2936,3435,3837,4220,4587
17950,2079,2943,3442,3844,4229,4597
18000,2084,2950,3449,3852,4238,4606
18050,2089,2957,3456,3860,4246,4616
18100,2094,2963,3463,3868,4255,4625
18150,2099,2970,3470,3876,4264,4635
18200,2104,2977,3477,3884,4272,4644
18250,2109,2984,3484,3892,4281,4654
18300,2114,2990,3491,3900,4290,4663
18350,2119,2997,3498,3908,4299,4672
18400,2123,3004,3506,3916,4307,4682
18450,2128,3011,3513,3924,4316,4691
18500,2133,3017,3520,3931,4325,4701
18550,2138,3024,3527,3939,4333,4710
18600,2143,3031,3534,3947,4342,4720
18650,2148,3038,3541,3955,4351,4729
18700,2153,3044,3548,3963,4359,4739
18750,2158,3051,3555,3971,4368,4748
18800,2163,3058,3562,3979,4377,4758
18850,2168,3065,3569,3987,4386,4767
18900,2173,3071,3576,3995,4394,4777
18950,2178,3078,3583,4003,4403,4786
19000,2183,3085,3590,4011,4412,4795
19050,2188,3092,3598,4018,4420,4805
19100,2193,3098,3605,4026,4429,4814
19150,2198,3105,3612,4034,4438,4824
19200,2203,3112,3619,4042,4446,4833
19250,2208,3119,3626,4050,4455,4843
19300,2213,3125,3633,4058,4464,4852
19350,2218,3132,3640,4066,4473,4862
19400,2223,3139,3647,4074,4481,4871
19450,2228,3146,3654,4082,4490,4881
19500,2233,3152,3661,4090,4499,4890
19550,2238,3159,3668,4098,4507,4899
19600,2243,3166,3675,4106,4516,4909
19650,2248,3172,3683,4113,4525,4918
19700,2253,3179,3690,4121,4533,4928
19750,2258,3186,3697,4129,4542,4937
19800,2263,3193,3704,4137,4551,4947
19850,2267,3199,3711,4145,4560,4956
19900,2272,3206,3718,4153,4568,4966
19950,2277,3213,3725,4161,4577,4975
20000,2282,3220,3732,4169,4586,4985
